HeatingDemand,HeatingEnergy,CoolingDemand,CoolingEnergy,IndoorAir,OutsideTemp,SolarGains,COP
11144.785048085067,13591.20127815252,0.0,0.0,19.999999999999986,-6.7,0.0,
11756.374527587648,14337.042106814206,0.0,0.0,19.999999999999993,-6.7,0.0,
12384.246717425895,15102.739899299871,0.0,0.0,20.0,-7.2,0.0,
12976.349471583628,15824.816428760523,0.0,0.0,19.99999999999999,-7.8,0.0,
13379.758290432623,16316.778402966615,0.0,0.0,20.0,-7.8,0.0,
13714.568058592648,16725.082998283717,0.0,0.0,20.000000000000007,-7.8,0.0,
14112.726502334759,17210.642076018,0.0,0.0,20.0,-8.3,0.0,
14249.578847307897,17377.53517964378,0.0,0.0,19.999999999999993,-8.3,0.0,
12869.213851892027,15694.163234014668,0.0,0.0,20.000000000000018,-8.3,1512.0484077628844,
7737.5331308051655,9436.016013177032,0.0,0.0,19.999999999999986,-7.2,7616.607723750015,
5240.93603486074,6391.385408366757,0.0,0.0,19.99999999999999,-5.6,11307.573265408317,
3500.604114948035,4269.029408473214,0.0,0.0,20.000000000000004,-4.4,9738.673346191192,
2362.458658761026,2881.0471448305198,0.0,0.0,20.000000000000004,-3.3,6847.565641291462,
5834.737383131938,7115.53339406334,0.0,0.0,20.000000000000004,-1.7,8370.421010495607,
0.0,0.0,0.0,0.0,20.244635864117434,-1.1,16810.015773224615,
0.0,0.0,0.0,0.0,20.641740697747373,-1.1,9555.424693288625,
0.0,0.0,0.0,0.0,20.711718718818513,-1.7,5269.54032157905,
0.0,0.0,0.0,0.0,20.415183303539138,-1.7,287.70982051025624,
4356.852803843535,5313.235126638458,0.0,0.0,20.0,-1.7,0.0,
6089.0919580242125,7425.721900029528,0.0,0.0,20.000000000000014,-1.7,0.0,
7090.966747896046,8647.520424263472,0.0,0.0,20.0,-1.7,0.0,
7778.135191397181,9485.530721216075,0.0,0.0,19.999999999999996,-1.1,0.0,
8316.176902896606,10141.679149873911,0.0,0.0,20.00000000000002,-0.6,0.0,
8836.065255578224,10775.689336071006,0.0,0.0,19.99999999999999,-0.6,0.0,
9267.547391559057,11301.8870628769,0.0,0.0,20.0,-0.6,0.0,
9481.317576801168,11562.582410733132,0.0,0.0,20.000000000000004,0.0,0.0,
9746.744240470274,11886.27346398814,0.0,0.0,19.999999999999993,0.0,0.0,
9822.696431685888,11978.898087421816,0.0,0.0,20.000000000000007,0.6,0.0,
9973.740839756418,12163.098585068803,0.0,0.0,19.999999999999996,0.6,0.0,
9978.817815030305,12169.29001832964,0.0,0.0,19.999999999999993,1.1,0.0,
10056.371267145712,12263.867398958186,0.0,0.0,19.999999999999996,1.1,0.0,
10000.476816106313,12195.703434275993,0.0,0.0,20.000000000000007,1.1,0.0,
8630.584720833353,10525.103318089456,0.0,0.0,20.0,1.1,211.19514674092727,
4134.6125076786975,5042.210375217924,0.0,0.0,19.999999999999996,1.7,2549.8191279943057,
2583.2786856313605,3150.3398605260495,0.0,0.0,19.999999999999996,1.7,5725.0453891112575,
1361.4351274861967,1660.2867408368254,0.0,0.0,19.999999999999996,2.2,5720.873611997743,
643.0191903016054,784.1697442702505,0.0,0.0,19.999999999999996,2.2,4024.451596835699,
4759.247203138204,5803.960003827078,0.0,0.0,20.0,2.8,3802.6261791849583,
0.0,0.0,0.0,0.0,20.03556243836716,3.3,3326.139497546014,
0.0,0.0,0.0,0.0,20.177622568586358,3.3,2441.615593687947,
0.0,0.0,0.0,0.0,20.24777256873234,3.3,1241.1205012676464,
0.0,0.0,0.0,0.0,20.19196138307015,3.9,175.99595561743942,
4104.4107967238315,5005.379020394917,0.0,0.0,19.999999999999996,5.0,0.0,
5106.205344303035,6227.079688174434,0.0,0.0,19.999999999999993,5.6,0.0,
5734.193358175082,6992.9187294818075,0.0,0.0,20.0,5.0,0.0,
6311.724278928022,7697.224730400027,0.0,0.0,20.000000000000007,4.4,0.0,
6703.03918228481,8174.438027176598,0.0,0.0,19.999999999999993,4.4,0.0,
7148.094149680278,8717.187987414974,0.0,0.0,20.000000000000018,3.9,0.0,
7588.467469572361,9254.22862142971,0.0,0.0,20.000000000000004,3.3,0.0,
7986.230774605699,9739.305822689877,0.0,0.0,19.999999999999993,2.8,0.0,
8507.636869714135,10375.166914285532,0.0,0.0,20.0,1.7,0.0,
8779.031079216951,10706.135462459697,0.0,0.0,19.999999999999996,1.7,0.0,
